Player,Pos,height_inches,season_end_year,Tm,MP,TRB%,ORB%,DRB%,TRB%_z,ORB%_z,DRB%_z,frontcourt_trb,is_sg,expected_combine_year,combine_player_name,combine_year,wingspan_inches,combine_year_gap,wingspan_minus_height
Bennedict Mathurin,SG,77.0,2023,IND,2222.0,7.9,4.4,11.5,0.2326678015825422,0.6923802107977249,-0.0277036802105663,15.39494201030928,1,2022,Bennedict Mathurin,2022.0,81.0,0.0,4.0
Blake Wesley,SG,76.0,2023,SAS,669.0,6.6,1.9,11.7,-0.2124621214659097,-0.3785839324890924,0.0104478599334254,10.151752577319588,1,2022,Blake Wesley,2022.0,81.25,0.0,5.25
Bobby Brown,PG,74.0,2009,2TM,931.0,3.3,1.7,4.8,-1.4674377655010633,-0.435904366226569,-1.7078501512986652,9.696075471698112,0,2008,Bobby Brown,2007.0,76.0,1.0,2.0
Bogdan BogdanoviÄ,SG,77.0,2018,SAC,2175.0,5.8,1.6,10.5,-0.2478024800871613,-0.3083560856380642,-0.069687736571084,14.53963963963964,1,2017,,,,,
Bones Hyland,SG,74.0,2022,DEN,1310.0,8.0,1.2,14.4,0.4741261124334909,-0.599397588387528,0.75341289280077,16.780873866446825,1,2021,,,,,
Bradley Beal,SG,76.0,2013,WAS,1745.0,6.7,2.7,10.8,0.3095191062438158,0.1469922493196268,0.3562697337862643,15.233368672144184,1,2012,Bradley Beal,2012.0,80.0,0.0,4.0
Brandin Podziemski,SG,76.0,2024,GSW,1968.0,11.7,6.6,16.7,1.1589534323023662,0.6770020011321033,0.9626705971666848,11.7930212271009,1,2023,Brandin Podziemski,2023.0,77.5,0.0,1.5
Brandon Jennings,PG,73.0,2010,MIL,2671.0,6.0,2.0,10.4,-0.1014912807601907,-0.2443769366496331,0.1092088751004131,16.796244245214442,0,2009,,,,,
Brandon Knight,PG,74.0,2012,DET,2129.0,5.9,1.8,10.3,-0.17793601985647,-0.373734503520352,0.1047712863111602,15.901577464788732,0,2011,Brandon Knight,2011.0,78.75,0.0,4.75
Brandon Paul,SG,76.0,2018,SAS,576.0,6.5,1.1,12.0,-0.0425666996061673,-0.4973120745978714,0.192950102008586,16.096736866466095,1,2017,,,,,
Brian Roberts,PG,73.0,2013,NOH,1324.0,4.4,1.5,7.3,-0.4567204640259623,-0.3566642125000754,-0.4241446679043537,12.630222030610046,0,2012,,,,,
Bruce Brown,SG,76.0,2019,DET,1449.0,7.0,3.5,10.7,0.2201998488198376,0.7378739317435126,0.0302490707189942,18.632264186752707,1,2018,Bruce Brown,2018.0,81.0,0.0,5.0
Bub Carrington,PG,76.0,2025,WAS,2458.0,7.2,1.4,13.1,-0.0597868409498275,-0.6701959798414229,0.4226252613646238,13.568909710391823,0,2024,,,,,
Buddy Hield,SG,76.0,2017,2TM,1888.0,7.8,2.0,13.5,0.3054681032063955,-0.0908445810863681,0.3747464985409234,15.226396562308164,1,2016,Buddy Hield,2016.0,81.25,0.0,5.25
C.J. Williams,SG,77.0,2018,LAC,707.0,4.4,1.9,6.7,-0.6582740410491492,-0.1949824922621799,-0.7350369276395815,21.80387409200969,1,2017,,,,,
Caleb Love,SG,75.0,2026,POR,1013.0,6.1,2.6,9.7,-0.3117668422458252,-0.2423373252554421,-0.2321986581960155,14.779647668393784,1,2025,,,,,
Cam Thomas,SG,75.0,2022,BRK,1176.0,7.5,1.5,13.1,0.2939900369707247,-0.4548714380791675,0.4709655835105265,10.432180358245832,1,2021,,,,,
Cameron Payne,PG,74.0,2016,OKC,698.0,6.6,1.5,11.2,0.121903929801745,-0.4158334306430805,0.1634002417388552,12.84926894107222,0,2015,Cameron Payne,2015.0,79.25,0.0,5.25
Cason Wallace,SG,75.0,2024,OKC,1692.0,6.2,3.6,8.6,-0.3079328026114355,0.0445087820813493,-0.5007304099706013,11.21188524590164,1,2023,Cason Wallace,2023.0,80.5,0.0,5.5
Cedric Coward,SG,77.0,2026,MEM,1598.0,12.3,5.5,19.4,1.741307765695135,1.0968589858120328,1.5515591191277494,11.90925925925926,1,2025,Cedric Coward,2025.0,86.25,0.0,9.25
Charles Jenkins,PG,75.0,2012,GSW,893.0,4.3,1.0,7.6,-0.9315473980721092,-0.7498633457353598,-0.7498107301457428,13.836637931034485,0,2011,Charles Jenkins,2011.0,79.5,0.0,4.5
Chris Duarte,SG,77.0,2022,IND,1541.0,8.2,2.9,13.6,0.5461805426185972,0.2195839300265145,0.579599164006774,13.437118126272912,1,2021,,,,,
Coby White,PG,76.0,2020,CHI,1674.0,7.6,1.8,14.0,0.4040540442158188,-0.3119916171605984,0.7201115866497877,11.23876094712942,0,2019,Coby White,2019.0,77.0,0.0,1.0
Cole Anthony,PG,74.0,2021,ORL,1273.0,9.0,3.0,15.4,0.8293693624716796,0.2544742895940533,0.986598309666204,12.47518837459634,0,2020,,,,,
Collin Sexton,PG,75.0,2019,CLE,2605.0,5.0,2.3,8.0,-0.5403588395381538,-0.0017610356366195,-0.5504921176896903,18.38085532910124,0,2018,Collin Sexton,2018.0,79.25,0.0,4.25
Courtney Lee,SG,77.0,2009,ORL,1939.0,5.2,1.1,9.1,-0.4876641104982324,-0.7769829934257729,-0.2486592375135088,15.306848591549295,1,2008,,,,,
