Player,Pos,height_inches,season_end_year,Tm,MP,TRB%,ORB%,DRB%,TRB%_z,ORB%_z,DRB%_z,frontcourt_trb,is_sg
Jeff Teague,PG,75.0,2010,ATL,719.0,5.4,0.8,10.2,-0.37511022124177545,-0.9328314434947533,0.052617727032943935,15.345223932820153,0
Jeremiah Fears,PG,75.0,2026,NOP,2112.0,7.7,3.0,12.4,0.2180588630292614,-0.05762059269441116,0.2643112385848264,12.865398550724638,0
Jerian Grant,PG,76.0,2016,NYK,1265.0,6.2,2.0,10.2,-0.060486682726056826,-0.0755555732364181,-0.09928387391744112,14.41612751992499,0
Jerryd Bayless,PG,75.0,2009,POR,655.0,5.4,1.5,9.4,-0.38453004155056597,-0.549597241959637,-0.14685522027268377,16.55682001614205,0
Jimmer Fredette,PG,74.0,2012,SAC,1135.0,3.5,1.6,5.7,-1.3083530871799285,-0.467766714074104,-1.3511832602450446,17.457138896589964,0
Jodie Meeks,SG,76.0,2010,2TM,719.0,7.9,1.4,14.9,0.764968697431495,-0.5886041900721933,1.3825097066184644,12.133846153846154,1
John Jenkins,SG,76.0,2013,ATL,902.0,6.0,2.2,9.6,0.07631575877040503,-0.06286460977191576,0.0886990817780523,14.664092664092664,1
John Wall,PG,75.0,2011,WAS,2606.0,6.9,1.5,12.8,0.3120598638344394,-0.4722497939733552,0.8412143320686886,15.156494845360825,0
Jordan Clarkson,PG,77.0,2015,LAL,1476.0,7.1,4.0,10.5,0.4313866095475364,0.8414489653634983,0.14121349458809157,17.19267635971998,0
Jordan Crawford,SG,76.0,2011,2TM,1027.0,5.9,3.4,8.6,-0.1686286220720261,0.44841260950304096,-0.43308591267061625,14.023762376237624,1
Jordan Farmar,PG,74.0,2007,LAL,1090.0,6.4,2.4,10.3,0.1280838218343924,-0.22638826305656942,0.2545513635189115,15.083454317897372,0
Jordan Hawkins,SG,77.0,2024,NOP,1160.0,7.1,2.8,11.3,-0.06789687326190444,-0.12415607633218508,-0.012930074258172376,15.184874152952563,1
Jordan Poole,SG,76.0,2020,GSW,1274.0,5.0,0.7,9.6,-0.6690558454080342,-1.0518040746192632,-0.3347962311296875,10.189707927677329,1
Josh Christopher,SG,76.0,2022,HOU,1334.0,7.7,4.3,11.1,0.3660444671558313,0.8940392981321966,0.03643126152553688,14.631132530120482,1
Josh Hart,SG,77.0,2018,LAL,1461.0,9.6,3.1,16.0,0.8663346139525204,0.2585118812413574,0.8933176715543728,13.18050533652799,1
Josh Okogie,SG,76.0,2019,MIN,1757.0,6.6,2.5,10.9,0.06808811114823926,0.12151145892673591,0.07326693652704515,17.80831954620657,1
Josh Richardson,SG,77.0,2016,MIA,1107.0,5.5,2.2,8.5,-0.3796702546497105,0.06055556972624698,-0.5458468705331446,16.424983403407833,1
JosÃ© CalderÃ³n,SG,75.0,2006,TOR,1487.0,5.8,2.4,9.5,-0.268589890220813,-0.1529834909320446,-0.16230152480889082,13.984330985915491,1
Jrue Holiday,PG,76.0,2010,PHI,1767.0,6.4,3.7,9.1,0.08092134622753272,0.7309336147142874,-0.25863358733813513,10.737640702386313,0
Juan Carlos Navarro,SG,75.0,2008,MEM,2117.0,5.6,1.8,9.4,-0.3487987304469315,-0.3863006540694189,-0.18901378894819643,12.811384255194616,1
KJ Simpson,PG,74.0,2025,CHO,842.0,6.9,4.8,9.0,-0.1623233636277666,0.4107903691904849,-0.5131529185058157,12.371952337305222,0
Kam Jones,SG,76.0,2026,IND,616.0,5.3,2.6,8.1,-0.5766796948833683,-0.24233732525544213,-0.5264267451772551,10.9,1
Kasparas JakuÄionis,PG,77.0,2026,MIA,945.0,7.6,4.7,10.5,0.18494475644956831,0.7274255206899707,-0.08508461470539565,18.193880560334232,0
Keaton Wallace,PG,75.0,2025,ATL,501.0,5.5,1.5,9.6,-0.6408271361248157,-0.6384022636934256,-0.3762097702320929,19.06074074074074,0
Kelenna Azubuike,SG,77.0,2007,GSW,669.0,7.7,4.2,11.4,0.7998504055662037,0.8120448566159549,0.6154638343358889,14.517949940405245,1
