Player,model_a_predicted_z,model_a_residual_z,model_a_residual_pct,model_b_predicted_z,model_b_residual_z,model_b_residual_pct,target
Isaiah Briscoe,-0.18405249666931767,0.7950427557969968,90.625,-0.11008891159580886,0.721079170723488,88.75,DRB%
Isaiah Collier,-0.07858727480651523,0.20450238157807302,67.5,-0.14936647282708929,0.2752815795986471,72.5,DRB%
Isaiah Whitehead,-0.0013530318383038501,-0.17353666975494594,38.125,0.04400391789522306,-0.21889361948847286,36.25,DRB%
JJ Redick,-0.2103063274567808,-0.2569672506582631,30.0,-0.29207065066959015,-0.17520292744545374,38.75,DRB%
Ja'Kobe Walter,0.010774830153537585,-0.2728653101575281,28.749999999999996,0.05950951158698971,-0.3215999915909802,26.875,DRB%
Jabari Brown,-0.06594813876362227,-0.9012234879878629,6.875000000000001,-0.06220856188008343,-0.9049630648714018,5.625,DRB%
Jalen Brunson,-0.11261463570658442,-0.09373455551870019,43.75,-0.1590541896906729,-0.04729500153461172,50.625,DRB%
Jalen Williams,0.18094583302530232,-0.07511912273189732,46.25,0.3177388744235258,-0.21191216413012076,36.875,DRB%
Jamal Shead,-0.21291976682082517,-0.8936534608711229,7.5,-0.2713914168131075,-0.8351818108788405,8.125,DRB%
James Harden,0.17959913451668255,0.5804079433596232,85.625,0.23200146293603985,0.5280056149402659,83.125,DRB%
Jared McCain,-0.023575819747254798,-0.580872530941043,13.125,-0.12044370968257284,-0.4840046410057249,16.875,DRB%
Jarrett Jack,-0.015013283327858937,0.21497177444971682,68.125,-0.02095240815231939,0.22091089927417729,69.375,DRB%
Jase Richardson,-0.18449284565703225,-0.3419338995202228,25.0,-0.18638707427447754,-0.34003967090277754,24.375,DRB%
